Country,year,"Other, unknown",Own outright,Owner with mortgage,Rent (private),Rent (subsidized)
Australia,2010,5.642727762460709,33.302342891693115,31.13665282726288,29.91827428340912,NA
Australia,2011,5.103212594985962,33.68907272815704,29.041007161140442,32.16670751571655,NA
Australia,2012,5.631614848971367,32.89943337440491,29.95968759059906,31.509265303611755,NA
Australia,2013,5.740363523364067,32.385292649269104,30.001506209373474,31.872838735580444,NA
Australia,2014,5.747316777706146,32.13135302066803,30.674391984939575,31.446939706802368,NA
Australia,2015,4.643715918064117,31.993281841278076,31.533032655715942,31.829968094825745,NA
Australia,2016,5.355473235249519,31.799399852752686,31.179851293563843,31.665274500846863,NA
Australia,2017,5.171478167176247,31.955486536026,30.835068225860596,32.03796744346619,NA
Australia,2018,5.210161581635475,30.67549467086792,31.758427619934082,32.35591650009155,NA
Australia,2019,5.008108913898468,30.662283301353455,32.03072249889374,32.29888379573822,NA
Australia,2020,4.92044985294342,31.117627024650574,31.835269927978516,32.12665617465973,NA
Austria,2010,7.822736352682114,30.616268515586853,19.79697048664093,41.764021664857864,NA
Austria,2011,9.137611836194992,27.03651487827301,17.640958726406097,46.18491530418396,NA
Austria,2012,8.053264766931534,29.447057843208313,20.155230164527893,42.34444797039032,NA
Austria,2013,7.66005665063858,29.631367325782776,20.323076844215393,42.38549917936325,NA
Austria,2014,7.370241731405258,30.499374866485596,19.219650328159332,42.91073381900787,NA
Austria,2015,8.246420323848724,29.421746730804443,19.443577527999878,42.888256907463074,NA
Austria,2016,9.028083086013794,28.96430194377899,18.89289915561676,43.114716559648514,NA
Austria,2017,9.327694773674011,29.144254326820374,18.279297649860382,43.248751759529114,NA
Austria,2018,8.94228145480156,28.72026264667511,19.135116040706635,43.202340602874756,NA
Austria,2019,8.246451616287231,28.63580882549286,19.15784776210785,43.95989626646042,NA
Austria,2020,7.848111540079117,29.497215151786804,18.859639763832092,43.795034289360046,NA
Belgium,2010,1.7229335382580757,34.037721157073975,31.610751152038574,23.631156980991364,8.997435122728348
Belgium,2011,1.6286594793200493,33.9726984500885,32.39768147468567,22.605521976947784,9.395437687635422
Belgium,2012,1.6045456752181053,34.028056263923645,33.23810696601868,22.21931517124176,8.909974247217178
Belgium,2013,1.7204836010932922,33.46763253211975,33.26667547225952,22.733695805072784,8.81151258945465
Belgium,2014,1.6786476597189903,32.97740817070007,33.129727840423584,23.756694793701172,8.457517623901367
Belgium,2015,1.5016894787549973,33.626484870910645,32.27022588253021,24.06717538833618,8.534424006938934
Belgium,2016,1.3450765050947666,35.323718190193176,30.949604511260986,24.197281897068024,8.184317499399185
Belgium,2017,1.7343582585453987,35.41801571846008,32.439541816711426,22.084790468215942,8.323293924331665
Belgium,2018,1.4660634100437164,33.976927399635315,33.27215313911438,22.657476365566254,8.627377450466156
Belgium,2019,1.5504296869039536,33.50021541118622,32.823655009269714,23.38121384382248,8.744487166404724
Belgium,2020,1.6347456723451614,32.85626471042633,33.1642746925354,23.482225835323334,8.862489461898804
Bulgaria,2010,9.963630139827728,84.43045616149902,1.5494825318455696,2.54740621894598,1.5090292319655418
Bulgaria,2011,10.030344873666763,84.81397032737732,1.2581631541252136,2.00461745262146,1.892903819680214
Bulgaria,2012,10.37246510386467,84.667205810546875,1.5458999201655388,1.7000891268253326,1.7143391072750092
Bulgaria,2013,11.694950610399246,82.8797698020935,1.953219436109066,1.9563475623726845,1.5157097950577736
Bulgaria,2014,12.011175602674484,81.50978088378906,2.051859349012375,2.7889231219887733,1.6382593661546707
Bulgaria,2015,13.448931276798248,80.01372814178467,2.114577405154705,3.2476354390382767,1.1751271784305573
Bulgaria,2016,13.658283650875092,80.10168671607971,2.0053116604685783,2.8285719454288483,1.4061442576348782
Bulgaria,2017,13.239984214305878,80.28721809387207,2.186214178800583,3.065275400876999,1.2213033623993397
Bulgaria,2018,12.446768581867218,81.24580979347229,1.8875660374760628,2.889101766049862,1.5307583846151829
Bulgaria,2019,12.069203704595566,82.28611946105957,1.5232473611831665,2.8040749952197075,1.3173495419323444
Bulgaria,2020,11.54482215642929,82.74449706077576,1.6238627955317497,2.5510739535093307,1.5357386320829391
Canada,2010,0.007985345291672274,29.647627472877502,39.817437529563904,30.52694797515869,NA
