Country,tenure_mode,year,value
Australia,Own outright,2010,33.302342891693115
Australia,Own outright,2011,33.68907272815704
Australia,Own outright,2012,32.89943337440491
Australia,Own outright,2013,32.385292649269104
Australia,Own outright,2014,32.13135302066803
Australia,Own outright,2015,31.993281841278076
Australia,Own outright,2016,31.799399852752686
Australia,Own outright,2017,31.955486536026
Australia,Own outright,2018,30.67549467086792
Australia,Own outright,2019,30.662283301353455
Australia,Own outright,2020,31.117627024650574
Australia,Own outright,2021,NA
Australia,Owner with mortgage,2010,31.13665282726288
Australia,Owner with mortgage,2011,29.041007161140442
Australia,Owner with mortgage,2012,29.95968759059906
Australia,Owner with mortgage,2013,30.001506209373474
Australia,Owner with mortgage,2014,30.674391984939575
Australia,Owner with mortgage,2015,31.533032655715942
Australia,Owner with mortgage,2016,31.179851293563843
Australia,Owner with mortgage,2017,30.835068225860596
Australia,Owner with mortgage,2018,31.758427619934082
Australia,Owner with mortgage,2019,32.03072249889374
Australia,Owner with mortgage,2020,31.835269927978516
Australia,Owner with mortgage,2021,NA
Australia,Rent (private),2010,29.91827428340912
Australia,Rent (private),2011,32.16670751571655
Australia,Rent (private),2012,31.509265303611755
Australia,Rent (private),2013,31.872838735580444
Australia,Rent (private),2014,31.446939706802368
Australia,Rent (private),2015,31.829968094825745
Australia,Rent (private),2016,31.665274500846863
Australia,Rent (private),2017,32.03796744346619
Australia,Rent (private),2018,32.35591650009155
Australia,Rent (private),2019,32.29888379573822
Australia,Rent (private),2020,32.12665617465973
Australia,Rent (private),2021,NA
Australia,Rent (subsidized),2010,NA
Australia,Rent (subsidized),2011,NA
Australia,Rent (subsidized),2012,NA
Australia,Rent (subsidized),2013,NA
Australia,Rent (subsidized),2014,NA
Australia,Rent (subsidized),2015,NA
Australia,Rent (subsidized),2016,NA
Australia,Rent (subsidized),2017,NA
Australia,Rent (subsidized),2018,NA
Australia,Rent (subsidized),2019,NA
Australia,Rent (subsidized),2020,NA
Australia,Rent (subsidized),2021,NA
Australia,"Other, unknown",2010,5.642727762460709
Australia,"Other, unknown",2011,5.103212594985962
Australia,"Other, unknown",2012,5.631614848971367
Australia,"Other, unknown",2013,5.740363523364067
Australia,"Other, unknown",2014,5.747316777706146
Australia,"Other, unknown",2015,4.643715918064117
Australia,"Other, unknown",2016,5.355473235249519
Australia,"Other, unknown",2017,5.171478167176247
Australia,"Other, unknown",2018,5.210161581635475
Australia,"Other, unknown",2019,5.008108913898468
Australia,"Other, unknown",2020,4.92044985294342
Australia,"Other, unknown",2021,NA
Austria,Own outright,2010,30.616268515586853
Austria,Own outright,2011,27.03651487827301
Austria,Own outright,2012,29.447057843208313
Austria,Own outright,2013,29.631367325782776
Austria,Own outright,2014,30.499374866485596
Austria,Own outright,2015,29.421746730804443
Austria,Own outright,2016,28.96430194377899
Austria,Own outright,2017,29.144254326820374
Austria,Own outright,2018,28.72026264667511
Austria,Own outright,2019,28.63580882549286
Austria,Own outright,2020,29.497215151786804
Austria,Own outright,2021,NA
Austria,Owner with mortgage,2010,19.79697048664093
Austria,Owner with mortgage,2011,17.640958726406097
Austria,Owner with mortgage,2012,20.155230164527893
Austria,Owner with mortgage,2013,20.323076844215393
Austria,Owner with mortgage,2014,19.219650328159332
Austria,Owner with mortgage,2015,19.443577527999878
Austria,Owner with mortgage,2016,18.89289915561676
Austria,Owner with mortgage,2017,18.279297649860382
Austria,Owner with mortgage,2018,19.135116040706635
Austria,Owner with mortgage,2019,19.15784776210785
Austria,Owner with mortgage,2020,18.859639763832092
Austria,Owner with mortgage,2021,NA
Austria,Rent (private),2010,41.764021664857864
Austria,Rent (private),2011,46.18491530418396
Austria,Rent (private),2012,42.34444797039032
Austria,Rent (private),2013,42.38549917936325
Austria,Rent (private),2014,42.91073381900787
Austria,Rent (private),2015,42.888256907463074
Austria,Rent (private),2016,43.114716559648514
Austria,Rent (private),2017,43.248751759529114
Austria,Rent (private),2018,43.202340602874756
Austria,Rent (private),2019,43.95989626646042
Austria,Rent (private),2020,43.795034289360046
Austria,Rent (private),2021,NA
Austria,Rent (subsidized),2010,NA
Austria,Rent (subsidized),2011,NA
Austria,Rent (subsidized),2012,NA
Austria,Rent (subsidized),2013,NA
Austria,Rent (subsidized),2014,NA
Austria,Rent (subsidized),2015,NA
Austria,Rent (subsidized),2016,NA
Austria,Rent (subsidized),2017,NA
Austria,Rent (subsidized),2018,NA
Austria,Rent (subsidized),2019,NA
Austria,Rent (subsidized),2020,NA
Austria,Rent (subsidized),2021,NA
Austria,"Other, unknown",2010,7.822736352682114
Austria,"Other, unknown",2011,9.137611836194992
Austria,"Other, unknown",2012,8.053264766931534
Austria,"Other, unknown",2013,7.66005665063858
Austria,"Other, unknown",2014,7.370241731405258
Austria,"Other, unknown",2015,8.246420323848724
Austria,"Other, unknown",2016,9.028083086013794
Austria,"Other, unknown",2017,9.327694773674011
Austria,"Other, unknown",2018,8.94228145480156
Austria,"Other, unknown",2019,8.246451616287231
Austria,"Other, unknown",2020,7.848111540079117
Austria,"Other, unknown",2021,NA
Belgium,Own outright,2010,34.037721157073975
Belgium,Own outright,2011,33.9726984500885
Belgium,Own outright,2012,34.028056263923645
Belgium,Own outright,2013,33.46763253211975
Belgium,Own outright,2014,32.97740817070007
Belgium,Own outright,2015,33.626484870910645
Belgium,Own outright,2016,35.323718190193176
Belgium,Own outright,2017,35.41801571846008
Belgium,Own outright,2018,33.976927399635315
