country,tenure_type,income,year,value
Australia,Own outright,Bottom Quintile,2010,0.43504709005355835
Australia,Own outright,Bottom Quintile,2011,0.4290141761302948
Australia,Own outright,Bottom Quintile,2012,0.4296482801437378
Australia,Own outright,Bottom Quintile,2013,0.41350919008255005
Australia,Own outright,Bottom Quintile,2014,0.41424673795700073
Australia,Own outright,Bottom Quintile,2015,0.4154581129550934
Australia,Own outright,Bottom Quintile,2016,0.430121511220932
Australia,Own outright,Bottom Quintile,2017,0.424246221780777
Australia,Own outright,Bottom Quintile,2018,0.4139155447483063
Australia,Own outright,Bottom Quintile,2019,0.42259180545806885
Australia,Own outright,Bottom Quintile,2020,0.42280691862106323
Australia,Own outright,2nd Quintile,2010,0.2956559956073761
Australia,Own outright,2nd Quintile,2011,0.32091689109802246
Australia,Own outright,2nd Quintile,2012,0.2982035279273987
Australia,Own outright,2nd Quintile,2013,0.29888662695884705
Australia,Own outright,2nd Quintile,2014,0.29475218057632446
Australia,Own outright,2nd Quintile,2015,0.31167158484458923
Australia,Own outright,2nd Quintile,2016,0.2811451852321625
Australia,Own outright,2nd Quintile,2017,0.29859620332717896
Australia,Own outright,2nd Quintile,2018,0.26942741870880127
Australia,Own outright,2nd Quintile,2019,0.27493613958358765
Australia,Own outright,2nd Quintile,2020,0.291799396276474
Australia,Own outright,3rd Quintile,2010,0.293759286403656
Australia,Own outright,3rd Quintile,2011,0.2863466441631317
Australia,Own outright,3rd Quintile,2012,0.26424843072891235
Australia,Own outright,3rd Quintile,2013,0.26996317505836487
Australia,Own outright,3rd Quintile,2014,0.27558469772338867
Australia,Own outright,3rd Quintile,2015,0.26065152883529663
Australia,Own outright,3rd Quintile,2016,0.24610359966754913
Australia,Own outright,3rd Quintile,2017,0.264746755361557
Australia,Own outright,3rd Quintile,2018,0.2550279498100281
Australia,Own outright,3rd Quintile,2019,0.2537224590778351
Australia,Own outright,3rd Quintile,2020,0.2535395622253418
Australia,Own outright,4th Quintile,2010,0.2766752541065216
Australia,Own outright,4th Quintile,2011,0.2687549591064453
Australia,Own outright,4th Quintile,2012,0.27827170491218567
Australia,Own outright,4th Quintile,2013,0.2735532820224762
Australia,Own outright,4th Quintile,2014,0.24399548768997192
Australia,Own outright,4th Quintile,2015,0.24822378158569336
Australia,Own outright,4th Quintile,2016,0.25735530257225037
